Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2003-01-10,212.05,217.4,209.9,215.05,214.9,142193.0,305.28
2003-01-13,215.75,219.4,215.55,215.55,217.2,59613.0,129.59
2003-01-14,218.45,218.5,216.15,218.05,218.05,57997.0,126.32
2003-01-15,219.4,223.45,216.05,216.5,217.45,135584.0,297.88
2003-01-16,219.9,219.9,217.6,219.25,219.1,65633.0,143.48
2003-01-17,220.0,236.0,219.5,222.0,223.7,180136.0,399.15
2003-01-20,224.0,225.5,222.0,223.25,223.9,96987.0,217.05
2003-01-21,224.5,228.0,222.9,227.0,226.25,102769.0,232.24
2003-01-22,227.0,241.9,227.0,240.0,240.15,393737.0,929.38
2003-01-23,242.0,243.45,234.7,234.7,236.3,147069.0,351.47
2003-01-24,237.0,239.9,234.1,238.35,237.5,151801.0,360.97
2003-01-27,238.0,239.5,235.0,239.4,238.05,163080.0,386.93
2003-01-28,238.0,239.9,221.0,229.1,232.05,191557.0,438.99
2003-01-29,239.9,239.9,227.0,228.0,229.4,31929.0,73.24
2003-01-30,228.1,231.75,224.0,227.0,226.95,60936.0,139.29
2003-01-31,229.0,239.0,226.5,237.0,237.1,200312.0,473.95
2003-02-03,222.0,243.0,222.0,233.2,238.25,146708.0,349.39
2003-02-04,239.95,244.45,238.5,240.85,240.1,225801.0,544.08
2003-02-05,241.2,241.25,238.85,240.05,240.1,64409.0,154.61
2003-02-06,240.0,243.15,240.0,243.0,242.4,79260.0,191.98
2003-02-07,243.0,250.35,241.5,245.5,246.8,295679.0,733.98
2003-02-10,245.9,247.0,242.5,245.75,246.35,78241.0,191.05
2003-02-11,244.75,249.0,244.75,247.15,245.6,149638.0,367.28
2003-02-12,247.15,250.0,241.1,249.9,248.7,278563.0,685.81
2003-02-14,249.5,252.4,246.5,247.1,248.25,193587.0,482.68
2003-02-17,247.05,249.5,246.3,248.95,248.25,43115.0,107.13
2003-02-18,247.5,250.0,245.0,248.0,246.15,61293.0,150.94
2003-02-19,250.1,253.0,247.0,251.5,251.75,341219.0,854.84
2003-02-20,255.0,256.0,249.15,250.0,250.35,117455.0,295.03
2003-02-21,251.95,252.0,245.1,250.4,250.2,101212.0,252.86
2003-02-24,247.05,250.0,246.0,246.5,247.6,42826.0,106.47
2003-02-25,247.2,247.5,245.05,245.25,245.5,22236.0,54.67
2003-02-26,246.5,250.0,245.0,249.0,248.6,80646.0,199.86
2003-02-27,248.5,250.0,246.15,248.95,248.35,69178.0,171.63
2003-02-28,248.3,253.7,244.25,250.05,249.85,212786.0,528.36
2003-03-03,250.05,252.25,240.55,242.0,242.85,36165.0,89.47
2003-03-04,242.05,246.0,240.0,241.0,242.9,56164.0,136.03
2003-03-05,242.75,245.0,240.35,242.95,241.15,71007.0,171.78
